p0_47,130.584,87.4293,824.946
p0_140,176.441,132.409,1136.65
p0_150,67.7561,112.147,850.233
p0_173,54.2923,124.321,844.289
p0_178,232.958,61.2566,921.499
p0_224,174.598,119.271,1128.1
p0_228,234.283,121.713,1263.46
p0_252,31.839,90.9111,645.898
p0_337,143.407,106.839,935.115
p0_355,96.3822,144.759,1549.39
p0_374,233.669,71.9675,997.865
p0_423,65.2229,117.924,839.443
p0_449,172.921,82.6397,894.25
p0_591,200.621,148.617,2062.18
p0_640,107.07,86.7048,783.823
p0_713,293.243,59.7106,1039.49
p0_759,152.832,77.4792,851.125
p0_760,184.475,81.6828,860.167
p0_787,72.9607,59.993,564.807
p0_919,93.5406,136.646,994.344
p0_949,209.624,135.567,1308.89
p0_951,244.456,95.8687,1160.65
p0_968,118.097,96.954,869.22
p0_47,130.584,87.4293,824.946
p0_140,176.441,132.409,1136.65
p0_150,67.7561,112.147,850.233
p0_154,64.9853,96.4385,696.377
p0_173,54.2923,124.321,844.289
p0_178,232.958,61.2566,921.499
p0_224,174.598,119.271,1128.1
p0_228,234.283,121.713,1263.46
p0_252,31.839,90.9111,645.898
p0_337,143.407,106.839,935.115
p0_355,96.3822,144.759,1549.39
p0_374,233.669,71.9675,997.865
p0_376,37.2667,97.39,734.065
p0_423,65.2229,117.924,839.443
p0_449,172.921,82.6397,894.25
p0_591,200.621,148.617,2062.18
p0_640,107.07,86.7048,783.823
p0_713,293.243,59.7106,1039.49
p0_744,27.0012,98.7083,677.785
p0_759,152.832,77.4792,851.125
p0_760,184.475,81.6828,860.167
p0_787,72.9607,59.993,564.807
p0_801,120.684,129.403,1028.81
p0_881,83.0513,91.8891,742.934
p0_919,93.5406,136.646,994.344
p0_935,102.978,132.798,1037.58
p0_948,201.881,129.529,1282.79
p0_949,209.624,135.567,1308.89
p0_951,244.456,95.8687,1160.65
p0_968,118.097,96.954,869.22
p0_47,130.584,87.4293,824.946
p0_140,176.441,132.409,1136.65
p0_150,67.7561,112.147,850.233
p0_154,64.9853,96.4385,696.377
p0_173,54.2923,124.321,844.289
p0_178,232.958,61.2566,921.499
p0_224,174.598,119.271,1128.1
p0_228,234.283,121.713,1263.46
p0_252,31.839,90.9111,645.898
p0_337,143.407,106.839,935.115
p0_355,96.3822,144.759,1549.39
p0_374,233.669,71.9675,997.865
p0_376,37.2667,97.39,734.065
p0_423,65.2229,117.924,839.443
p0_449,172.921,82.6397,894.25
p0_591,200.621,148.617,2062.18
p0_640,107.07,86.7048,783.823
p0_713,293.243,59.7106,1039.49
p0_744,27.0012,98.7083,677.785
p0_759,152.832,77.4792,851.125
p0_760,184.475,81.6828,860.167
p0_787,72.9607,59.993,564.807
p0_801,120.684,129.403,1028.81
p0_881,83.0513,91.8891,742.934
p0_919,93.5406,136.646,994.344
p0_935,102.978,132.798,1037.58
p0_948,201.881,129.529,1282.79
p0_949,209.624,135.567,1308.89
p0_951,244.456,95.8687,1160.65
p0_968,118.097,96.954,869.22
