p0_140,105.146,1,209.187,176.441,56.1016,132.409,1136.14,1030.99
p0_224,-138.484,0,143.707,174.598,50.6344,119.271,883.959,1022.44
p0_228,-139.748,0,217.136,234.283,46.8085,121.713,1018.05,1157.8
p0_252,139.218,0,81.0952,31.839,42.6969,90.9111,679.457,540.238
p0_337,125.82,1,197.424,143.407,43.6679,106.839,955.275,829.455
p0_355,-547.229,0,107.851,96.3822,56.0211,144.759,896.505,1443.73
p0_374,-119.397,1,217.378,233.669,28.125,71.9675,772.809,892.205
p0_423,103.833,1,125.329,65.2229,49.3253,117.924,837.616,733.783
p0_591,-896.904,0,175.104,200.621,57.1584,148.617,1059.62,1956.52
p0_787,104.899,0,107.405,72.9607,30.3684,59.993,564.046,459.147
p0_949,-107.412,0,193.594,209.624,55.3888,135.567,1095.82,1203.23
p0_140,105.146,1,209.187,176.441,56.1016,132.409,1136.14,1030.99
p0_224,-138.484,0,143.707,174.598,50.6344,119.271,883.959,1022.44
p0_228,-139.748,0,217.136,234.283,46.8085,121.713,1018.05,1157.8
p0_252,139.218,0,81.0952,31.839,42.6969,90.9111,679.457,540.238
p0_337,125.82,1,197.424,143.407,43.6679,106.839,955.275,829.455
p0_355,-547.229,0,107.851,96.3822,56.0211,144.759,896.505,1443.73
p0_374,-119.397,1,217.378,233.669,28.125,71.9675,772.809,892.205
p0_423,103.833,1,125.329,65.2229,49.3253,117.924,837.616,733.783
p0_591,-896.904,0,175.104,200.621,57.1584,148.617,1059.62,1956.52
p0_787,104.899,0,107.405,72.9607,30.3684,59.993,564.046,459.147
p0_949,-107.412,0,193.594,209.624,55.3888,135.567,1095.82,1203.23
p0_140,105.146,1,209.187,176.441,56.1016,132.409,1136.14,1030.99
p0_154,102.987,0,111.27,64.9853,40.9707,96.4385,693.704,590.717
p0_224,-138.484,0,143.707,174.598,50.6344,119.271,883.959,1022.44
p0_228,-139.748,0,217.136,234.283,46.8085,121.713,1018.05,1157.8
p0_252,139.218,0,81.0952,31.839,42.6969,90.9111,679.457,540.238
p0_337,125.82,1,197.424,143.407,43.6679,106.839,955.275,829.455
p0_355,-547.229,0,107.851,96.3822,56.0211,144.759,896.505,1443.73
p0_374,-119.397,1,217.378,233.669,28.125,71.9675,772.809,892.205
p0_423,103.833,1,125.329,65.2229,49.3253,117.924,837.616,733.783
p0_591,-896.904,0,175.104,200.621,57.1584,148.617,1059.62,1956.52
p0_744,176.628,1,112.441,27.0012,42.5448,98.7083,748.754,572.125
p0_787,104.899,0,107.405,72.9607,30.3684,59.993,564.046,459.147
p0_801,-113.625,0,109.347,120.684,49.9377,129.403,809.523,923.149
p0_949,-107.412,0,193.594,209.624,55.3888,135.567,1095.82,1203.23
