p0_140,15.405,209.18652
p0_150,11.7091,96.289246
p0_154,13.7586,111.2704
p0_173,12.8696,107.118454
p0_178,15.7974,214.96718
p0_224,16.4493,143.70746
p0_228,16.9167,217.13593
p0_252,18.0,81.095245
p0_337,15.9863,197.42412
p0_355,13.5541,107.85051
p0_374,16.0,217.37805
p0_423,14.374,125.32856
p0_449,15.2171,157.81834
p0_47,14.6827,129.35419
p0_591,16.4118,175.10423
p0_640,13.3459,101.76876
p0_713,17.6453,249.62169
p0_744,14.7808,112.44114
p0_759,14.6479,133.02142
p0_760,15.9683,163.25069
p0_787,12.5043,107.40465
p0_801,14.0814,109.34688
p0_881,14.3969,92.79309
p0_919,13.9114,111.87391
p0_935,13.9121,120.00914
p0_948,16.5469,185.30873
p0_949,16.1962,193.59352
p0_951,17.114,247.49959
p0_968,15.1679,141.59001
